date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:06:55	1033/1033	---M-Z	200	added ('OK')	image/svg+xml	etag:%22409-637880a1-fd6ce367adf99b8c;gz%22	https://themesbox.in/admin-templates/orbiter/html/light-vertical/assets/images/svg-icon/advanced.svg	/Users/apple/websites/Dashboard2/themesbox.in/admin-templates/orbiter/html/light-vertical/assets/images/svg-icon/advanced.svg	(from https://themesbox.in/admin-templates/orbiter/html/light-vertical/dashboard-school.html)
10:06:56	75828/75828	---M-Z	200	added ('OK')	text/html	etag:%2212834-637880a1-8592a717934e39fb;gz%22	https://themesbox.in/admin-templates/orbiter/html/light-vertical/advanced-ui-kits-image-crop.html	/Users/apple/websites/Dashboard2/themesbox.in/admin-templates/orbiter/html/light-vertical/advanced-ui-kits-image-crop.html	(from https://themesbox.in/admin-templates/orbiter/html/light-vertical/dashboard-school.html)
10:06:57	44912/44912	---M-Z	200	added ('OK')	text/html	etag:%22af70-637880a1-f2c4e21146a2b73d;gz%22	https://themesbox.in/admin-templates/orbiter/html/light-vertical/advanced-ui-kits-jquery-confirm.html	/Users/apple/websites/Dashboard2/themesbox.in/admin-templates/orbiter/html/light-vertical/advanced-ui-kits-jquery-confirm.html	(from https://themesbox.in/admin-templates/orbiter/html/light-vertical/dashboard-school.html)
10:06:58	49189/49189	---M-Z	200	added ('OK')	text/html	etag:%22c025-637880a1-6bd2242d101340a;gz%22	https://themesbox.in/admin-templates/orbiter/html/light-vertical/advanced-ui-kits-nestable.html	/Users/apple/websites/Dashboard2/themesbox.in/admin-templates/orbiter/html/light-vertical/advanced-ui-kits-nestable.html	(from https://themesbox.in/admin-templates/orbiter/html/light-vertical/dashboard-school.html)
10:06:59	63244/63244	---M-Z	200	added ('OK')	text/html	etag:%22f70c-637880a1-3d1c02fccd70fe67;gz%22	https://themesbox.in/admin-templates/orbiter/html/light-vertical/advanced-ui-kits-pnotify.html	/Users/apple/websites/Dashboard2/themesbox.in/admin-templates/orbiter/html/light-vertical/advanced-ui-kits-pnotify.html	(from https://themesbox.in/admin-templates/orbiter/html/light-vertical/dashboard-school.html)
10:07:00	51667/51667	---M-Z	200	added ('OK')	text/html	etag:%22c9d3-637880a1-26d606ea25948d8;gz%22	https://themesbox.in/admin-templates/orbiter/html/light-vertical/advanced-ui-kits-range-slider.html	/Users/apple/websites/Dashboard2/themesbox.in/admin-templates/orbiter/html/light-vertical/advanced-ui-kits-range-slider.html	(from https://themesbox.in/admin-templates/orbiter/html/light-vertical/dashboard-school.html)
10:07:01	48867/48867	---M-Z	200	added ('OK')	text/html	etag:%22bee3-637880a1-a10a8cb03b457663;gz%22	https://themesbox.in/admin-templates/orbiter/html/light-vertical/advanced-ui-kits-ratings.html	/Users/apple/websites/Dashboard2/themesbox.in/admin-templates/orbiter/html/light-vertical/advanced-ui-kits-ratings.html	(from https://themesbox.in/admin-templates/orbiter/html/light-vertical/dashboard-school.html)
10:07:02	38331/38331	---M-Z	200	added ('OK')	text/html	etag:%2295bb-637880a1-cb995419f16f440a;gz%22	https://themesbox.in/admin-templates/orbiter/html/light-vertical/advanced-ui-kits-session-timeout.html	/Users/apple/websites/Dashboard2/themesbox.in/admin-templates/orbiter/html/light-vertical/advanced-ui-kits-session-timeout.html	(from https://themesbox.in/admin-templates/orbiter/html/light-vertical/dashboard-school.html)
10:07:03	45746/45746	---M-Z	200	added ('OK')	text/html	etag:%22b2b2-637880a1-c8d1d940eba173aa;gz%22	https://themesbox.in/admin-templates/orbiter/html/light-vertical/advanced-ui-kits-sweet-alerts.html	/Users/apple/websites/Dashboard2/themesbox.in/admin-templates/orbiter/html/light-vertical/advanced-ui-kits-sweet-alerts.html	(from https://themesbox.in/admin-templates/orbiter/html/light-vertical/dashboard-school.html)
10:07:04	43944/43944	---M-Z	200	added ('OK')	text/html	etag:%22aba8-637880a1-ea42246d5a82b996;gz%22	https://themesbox.in/admin-templates/orbiter/html/light-vertical/advanced-ui-kits-switchery.html	/Users/apple/websites/Dashboard2/themesbox.in/admin-templates/orbiter/html/light-vertical/advanced-ui-kits-switchery.html	(from https://themesbox.in/admin-templates/orbiter/html/light-vertical/dashboard-school.html)
